"filename", "language", "YAML", "TypeScript", "Handlebars", "JSON", "JSON with Comments", "JavaScript", "Shell Script", "Markdown", "Prisma", "Docker", "SQL", "SCSS", "XML", "HTML", "comment", "blank", "total"
"/Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.command.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 85
"/Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.finder.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.read-model.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/maciejfratczak/sps/api/src/application/parking-lot/parking-lot.service.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"/Users/maciejfratczak/sps/api/src/application/reservation/reservation.command.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"/Users/maciejfratczak/sps/api/src/application/reservation/reservation.finder.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/maciejfratczak/sps/api/src/application/reservation/reservation.read-model.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 96
"/Users/maciejfratczak/sps/api/src/application/reservation/reservation.service.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 68
"/Users/maciejfratczak/sps/api/src/configuration.module.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 119
"/Users/maciejfratczak/sps/api/src/domain/domain.exception.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/maciejfratczak/sps/api/src/domain/driver/driver.repository.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/maciejfratczak/sps/api/src/domain/driver/driver.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"/Users/maciejfratczak/sps/api/src/domain/driver/vehicle.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/maciejfratczak/sps/api/src/domain/id.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/maciejfratczak/sps/api/src/domain/parking-lot-availability.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/maciejfratczak/sps/api/src/domain/parking-lot/address.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/maciejfratczak/sps/api/src/domain/parking-lot/operation-time.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 134
"/Users/maciejfratczak/sps/api/src/domain/parking-lot/parking-lot.repository.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/maciejfratczak/sps/api/src/domain/parking-lot/parking-lot.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73
"/Users/maciejfratczak/sps/api/src/domain/reservation/parking-ticket.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 70
"/Users/maciejfratczak/sps/api/src/domain/reservation/reservation-status.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/maciejfratczak/sps/api/src/domain/reservation/reservation.factory.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"/Users/maciejfratczak/sps/api/src/domain/reservation/reservation.repository.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/maciejfratczak/sps/api/src/domain/reservation/reservation.ts", "TypeScript", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 179
"/Users/maciejfratczak/sps/api/src/domain/reservation/scheduled-parking-time.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 62
"/Users/maciejfratczak/sps/api/src/domain/time/moment.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"/Users/maciejfratczak/sps/api/src/domain/time/period.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"/Users/maciejfratczak/sps/api/src/domain/validate.decorator.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"/Users/maciejfratczak/sps/api/src/error.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"/Users/maciejfratczak/sps/api/src/i18n/en/domain.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/maciejfratczak/sps/api/src/i18n/en/email.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/maciejfratczak/sps/api/src/i18n/en/persistence.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/maciejfratczak/sps/api/src/i18n/en/security.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/maciejfratczak/sps/api/src/i18n/pl/domain.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/maciejfratczak/sps/api/src/i18n/pl/email.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/maciejfratczak/sps/api/src/i18n/pl/persistence.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/maciejfratczak/sps/api/src/i18n/pl/security.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/maciejfratczak/sps/api/src/infrastructure/email/email.service.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"/Users/maciejfratczak/sps/api/src/infrastructure/email/templates/account-registration-confirmation.en.hbs", "Handlebars", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 117
"/Users/maciejfratczak/sps/api/src/infrastructure/email/templates/account-registration-confirmation.form.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"/Users/maciejfratczak/sps/api/src/infrastructure/email/templates/account-registration-confirmation.pl.hbs", "Handlebars", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 119
"/Users/maciejfratczak/sps/api/src/infrastructure/infrastructure.module.ts", "TypeScript", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 97
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authentication/authentication.service.ts", "TypeScript", 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40, 334
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/jwt-auth.guard.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/jwt-refresh.guard.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/jwt.strategy.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 77
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/check-policies.decorator.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/driver.policy.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/policies.guard.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/policy.handler.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/policy/reservation.policy.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/reservation.authorization.service.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/role.guard.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/role.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/roles.decorator.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/maciejfratczak/sps/api/src/infrastructure/security/cookie.service.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 127
"/Users/maciejfratczak/sps/api/src/infrastructure/security/csrf/csrf.guard.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/maciejfratczak/sps/api/src/infrastructure/security/security.exception.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/maciejfratczak/sps/api/src/infrastructure/security/token.service.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 143
"/Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.command.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.service.ts", "TypeScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 152
"/Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.store.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 43
"/Users/maciejfratczak/sps/api/src/infrastructure/web/controller/auth.controller.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 113
"/Users/maciejfratczak/sps/api/src/infrastructure/web/controller/driver.controller.ts", "TypeScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 89
"/Users/maciejfratczak/sps/api/src/infrastructure/web/controller/parking-lot.controller.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 69
"/Users/maciejfratczak/sps/api/src/infrastructure/web/controller/reservation.controller.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 99
"/Users/maciejfratczak/sps/api/src/infrastructure/web/controller/users.controller.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"/Users/maciejfratczak/sps/api/src/infrastructure/web/exception/exception.filter.ts", "TypeScript", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 84
"/Users/maciejfratczak/sps/api/src/infrastructure/web/interceptor/current-user.interceptor.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/maciejfratczak/sps/api/src/infrastructure/web/interceptor/not-found.interceptor.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/maciejfratczak/sps/api/src/infrastructure/web/lang.service.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
